	10	1.002001
	10.07	1.001989
	10.14	1.000595
	10.21	0.9988117
	10.28	0.9978846
	10.35	0.9984444
	10.42	1.000073
	10.49	1.001618
	10.56	1.002008
	10.63	1.000995
	10.7	0.9993034
	10.77	0.9981196
	10.84	0.9982598
	10.91	0.9996039
	10.98	1.001197
	11.05	1.00193
	11.12	1.001312
	11.19	0.9997939
	11.26	0.9984429
	11.33	0.9981951
	11.4	0.9992033
	11.47	1.000743
	11.54	1.001737
	11.61	1.001508
	11.68	1.000237
	11.75	0.998824
	11.82	0.9982538
	11.89	0.9989087
	11.96	1.00031
	12.03	1.00147
	12.1	1.001587
	12.17	1.0006
	12.24	0.9992121
	12.31	0.9983975
	12.38	0.9987167
	12.45	0.9999303
	12.52	1.00118
	12.59	1.001597
	12.66	1.000905
	12.73	0.9995992
	12.8	0.9985952
	12.87	0.9985851
	12.94	0.9995596
	13.01	1.000824
	13.08	1.001497
	13.15	1.001122
	13.22	0.9999772
	13.29	0.9988706
	13.36	0.9985717
	13.43	0.9992758
	13.5	1.000476
	13.57	1.001329
	13.64	1.001248
	13.71	1.000304
	13.78	0.9991663
	13.85	0.9986284
	13.92	0.9990563
	13.99	1.000136
	14.06	1.001104
	14.13	1.00129
	14.2	1.000574
	14.27	0.9994665
	14.34	0.9987448
	14.41	0.998907
	14.48	0.9998287
	14.55	1.000859
	14.62	1.001281
	14.69	1.000811
	14.76	0.9997882
	14.83	0.99893
	14.9	0.9988304
	14.97	0.9995472
	15.04	1.000569
	15.11	1.001181
	15.18	1.000965
	15.25	1.000083
	15.32	0.9991575
	15.39	0.9988326
	15.46	0.9993253
	15.53	1.00028
	15.6	1.001025
	15.67	1.001045
	15.74	1.000337
	15.81	0.9994016
	15.88	0.9988928
	15.95	0.9991585
	16.02	1.000002
	16.09	1.000828
	16.16	1.001063
	16.23	1.000555
	16.3	0.9996681
	16.37	0.9990275
	16.44	0.9990776
	16.51	0.9997746
	16.58	1.000624
	16.65	1.00103
	16.72	1.000717
